Wavelength (nm),Blank1,F564,F565,F576,F577,F570,F571,F600,F568,F569,F582,F603,F603b
767.5,-0.001947,-0.000108,0.001463,0.00165,0.002876,0.002265,0.002215,-0.000608,-0.000447,-0.000486,0.000583,0.001782,0.002205
767,-0.000319,0.000881,0.000732,0.003824,0.000276,0.003445,0.004588,-0.000341,-0.002255,-0.002201,0.001571,-0.000635,0.000708
766.5,0.001206,0.003074,-0.001443,0.000284,0.001626,0.000073,0.001275,0.002113,-0.000408,0.002573,0.002751,0.001697,0.000813
766,0.001421,0.000412,-0.000859,0.000375,0.001839,-0.0018,-0.000221,0.003253,-0.0013,-0.000555,-0.000055,-0.002993,-0.001874
765.5,0.000051,0.001467,-0.001845,-0.001478,0.002382,0.004296,0.003711,-0.004829,0.001412,0.000492,0.002002,0.001186,0.001524
765,-0.001586,-0.000079,-0.000358,0.002723,0.002894,0.000585,-0.000371,0.001155,0.001794,0.000754,0.001137,-0.001234,0.002354
764.5,0.001117,0.000844,-0.000387,0.001021,-0.001606,-0.000413,0.000316,-0.001027,0.000667,-0.001343,0.002206,0.000829,0.002405
764,-0.001809,0.0006,0.000394,0.001729,0.001549,-0.001145,0.000027,-0.001429,0.001445,0.000178,0.000518,-0.00001,0.000516
763.5,0.002043,0.000847,0.002104,0.000406,-0.001284,0.000817,0.00165,-0.002461,0.000914,0.001083,-0.000371,-0.000856,0.000392
763,-0.00092,0.00093,0.000888,0.000317,0.000756,-0.000441,0.000982,0.00035,0.000932,0.000044,-0.001019,-0.002701,0.001562
762.5,-0.000119,-0.000639,0.0002,0.000864,0.000981,0.004065,0.00367,0.002905,-0.00087,-0.000132,0.001179,0.001284,-0.000138
762,0.001567,0.001125,0.001423,-0.000782,0.001172,0.000548,0.003735,0.000697,0.000435,0.003561,0.000355,0.001996,0.002747
761.5,0.001734,-0.001398,0.001599,0.002375,0.001754,0.001997,0.000345,0.000692,-0.000701,-0.003062,0.000666,0.002154,0.002369
761,-0.001156,-0.001858,-0.000058,0.000841,0.000328,0.001047,0.00153,-0.000413,0.003028,-0.00119,0.001468,0.000616,0.00096
760.5,0.000376,0.000859,0.000724,0.001827,0.003595,0.004249,0.000318,0.000447,-0.000162,-0.001019,-0.000218,-0.000936,0.002175
760,0.001008,-0.000695,-0.000396,0.000364,-0.002359,-0.001531,-0.002024,0.000787,-0.004567,-0.001162,0.002331,0.005155,0.002296
759.5,0.000757,0.001687,0.002227,-0.000375,-0.001031,0.002976,0.002951,-0.004607,-0.000849,-0.002446,-0.000751,-0.000867,0.002259
759,0.000278,-0.000174,-0.000077,0.002077,0.002043,0.001482,0.003526,-0.000465,0.004975,0.003801,0.002363,0.001549,0.001558
758.5,-0.001098,0.000521,0.001814,0.000248,-0.000283,-0.000089,0.000573,0.000833,-0.000315,-0.001622,0.003173,0.000981,0.000111
758,0.001214,0.00249,0.001036,0.00226,-0.000938,0.000589,0.003343,-0.001786,0.003242,0.00236,0.004474,0.003297,0.003687
757.5,-0.000936,0.000552,0.000681,-0.002208,-0.001826,0.000036,0.001594,0.000719,-0.002125,-0.007502,0.000717,0.0012,0.001909
757,0.000146,-0.001513,0.001415,0.003565,0.000728,0.001092,-0.001936,0.003842,0.000078,0.001123,0.001192,0.000742,0.001002
756.5,0.001157,0.002868,0.001879,-0.001504,-0.001968,-0.001523,-0.000999,-0.00065,0.001867,0.000549,0.002464,0.002324,0.000915
