Wavelength (nm),Blank1,F532,F533,F526,F527,F538,F539,F534,F535,F540,F541,F528,F529,F610,F611,F536,F537,F554,F555,F556,F557
717.5,0.001754,-0.000932,-0.001478,-0.000629,0.001364,-0.001943,-0.001084,-0.001744,0.000002,-0.000027,-0.000781,-0.000576,0.003107,-0.000808,-0.002793,0.001061,-0.000023,0.000039,0.001041,-0.000652,0.028588
717,-0.000368,0.001181,-0.003464,-0.000826,-0.000538,-0.00041,-0.000844,-0.000861,-0.001494,-0.001933,-0.001726,-0.002081,0.003092,-0.000412,-0.001235,0.001494,0.001408,-0.001852,0.000438,-0.000114,0.025853
716.5,-0.00032,-0.00103,-0.004574,-0.001802,-0.000766,-0.002005,-0.001692,0.002474,0.000311,0.000108,0.000957,-0.000223,0.003898,-0.001172,-0.004213,0.00164,0.001766,-0.002368,-0.001027,0.000538,0.029257
716,0.001553,0.001143,-0.003303,0.001398,0.000343,-0.00136,-0.002002,0.000903,0.000203,-0.002605,-0.000207,-0.001309,0.000703,-0.000154,-0.003294,0.000624,-0.000128,-0.001445,-0.000733,-0.001944,0.027906
715.5,-0.00061,-0.000134,-0.003286,0.001305,0.001752,0.001726,0.000683,-0.001317,-0.002065,-0.00141,0.000882,-0.001261,0.003041,-0.000308,-0.002124,0.000828,0.001306,0.001101,0.001859,0.000454,0.027715
715,0.001917,0.000717,-0.004062,0.000072,-0.000336,-0.001332,-0.000717,0.000025,0.001443,-0.002911,-0.001584,-0.003073,0.001476,-0.001574,-0.004559,0.000214,-0.002189,-0.001745,0.000244,-0.000434,0.028851
714.5,0.000215,-0.001512,-0.004449,0.001099,0.000876,-0.001367,-0.000433,0.001454,0.000811,-0.001493,0.002155,-0.002694,0.002325,-0.000417,-0.002098,0.000736,-0.000884,0.00036,0.00167,-0.001644,0.027257
714,-0.001025,-0.00066,-0.003837,0.000392,0.001929,0.000865,-0.000484,0.001079,-0.001419,0.000137,-0.000847,-0.002164,0.002558,0.000916,-0.000996,0.000499,0.000432,-0.000356,0.001566,0.000097,0.029313
713.5,0.000577,0.000073,-0.003193,0.000079,0.000641,0.000018,-0.000426,0.000822,-0.000639,-0.001072,0.000896,-0.001993,0.004086,-0.001447,-0.002739,-0.000574,0.000185,-0.002431,0,-0.001251,0.026574
713,-0.001042,-0.001279,-0.003052,0.001534,0.001029,-0.000144,0.000367,-0.000192,-0.000954,-0.000896,0.001278,-0.000915,0.003056,-0.000745,-0.003936,0.001648,0.000341,-0.003014,-0.000886,-0.001387,0.02781
712.5,-0.001028,0.001206,-0.001433,-0.002144,0.000325,0.000654,0.000236,-0.000285,-0.000878,-0.001284,-0.000186,-0.002194,0.002629,-0.000593,-0.001082,-0.001511,-0.000766,-0.003593,0.001154,-0.000301,0.027381
712,-0.001578,0.001549,-0.004447,-0.000342,0.000633,0.001121,-0.000383,0.000549,0.000387,-0.000901,0.000794,-0.001555,0.005238,0.000226,-0.001385,-0.001355,-0.00021,-0.000934,-0.000846,0.001761,0.028806
711.5,-0.001314,-0.002395,-0.005384,-0.002185,0.000506,0.000464,-0.0006,0.000705,0.001173,0.000208,0.001246,-0.000556,0.003538,-0.001631,-0.001502,0.003504,0.000531,-0.001893,-0.001206,0.0007,0.029248
711,-0.001434,-0.000204,-0.005851,-0.000114,0.000916,0.0002,-0.00088,0.001191,-0.001496,-0.001207,-0.001711,-0.002678,0.002399,-0.000483,-0.002982,-0.001286,0.000855,-0.00286,-0.001967,-0.001156,0.026413
710.5,0.001276,0.000848,-0.004589,-0.00165,0.000904,-0.000362,-0.001716,0.000174,0.00074,-0.003182,0.000879,-0.001238,0.002491,0.002341,-0.000617,0.002281,0.001254,-0.000431,0.002043,0.000366,0.029896
710,-0.001356,-0.001915,-0.005032,-0.001164,0.000944,0.001971,-0.001085,0.001433,0.000585,-0.001432,0.000865,-0.00221,0.001073,-0.002579,-0.00182,0.00001,-0.001555,0.001313,0.002801,-0.000592,0.025732
709.5,0.000833,-0.00104,-0.005874,-0.002774,0.001429,0.001653,0.001646,0.000014,-0.002278,-0.000054,0.000095,-0.000862,0.003202,0.000401,-0.0019,0.001475,0.001225,-0.001139,0.000952,0.001979,0.030452
709,-0.001013,0.001515,-0.00353,0.00029,0.002903,0.000627,0.001751,0.002219,-0.000871,-0.000637,0.001423,-0.00167,0.002072,0.000732,-0.002268,0.000975,0.000304,-0.001936,-0.000146,0.000325,0.028588
