Wavelength (nm),Blank1,F503,F502,F510,F511,F506,F507,F518,F519,F514,F515,F521,F520,F517,F516
746.5,-0.002058,-0.002574,0.000618,-0.001882,0.003159,0.00391,0.001669,0.00135,0.000155,0.000849,-0.000062,0.000878,-0.000726,-0.003379,-0.003594
746,0.000665,0.001836,0.001982,-0.00136,0.001432,0.004241,0.002392,-0.001323,-0.002903,0.00207,0.004299,0.000714,0.000341,-0.002143,-0.001022
745.5,0.000397,0.001281,-0.002518,-0.000649,0.00216,0.003315,0.00139,0.001691,0.000245,0.000137,0.001461,-0.003563,-0.002729,-0.000421,-0.000789
745,-0.002991,-0.00058,-0.000514,-0.001112,0.001671,0.002906,0.00241,0.001587,-0.000547,-0.001974,-0.002784,0.00264,0.000678,-0.000885,0.003197
744.5,0.0001,0.001143,0.000853,-0.001097,-0.000448,0.002062,-0.00014,0.000976,0.000242,0.001121,-0.001427,0.000067,-0.001787,-0.002551,0.000532
744,-0.002637,-0.00101,0.001881,0.002121,0.006109,0.000477,0.000324,0.000843,0.00148,-0.000147,-0.000375,-0.000763,-0.000444,-0.002916,-0.000237
743.5,-0.000924,-0.000641,0.002203,0.000289,0.003738,-0.000683,-0.004477,-0.000909,-0.002558,0.000966,0.001446,0.000176,-0.001847,-0.000884,-0.000741
743,-0.000537,0.000684,-0.002995,0.001281,0.001697,0.00564,0.000936,0.001357,-0.000768,0.002187,-0.00026,0.001405,-0.001091,-0.000235,0.000349
742.5,0.001218,0.00137,-0.001023,-0.000954,0.003541,0.003518,0.001542,-0.001965,-0.001853,0.002058,0.00048,0.000473,-0.00091,0.00147,0.001526
742,-0.000765,0.001722,0.000962,-0.000856,0.00342,0.003648,-0.000109,-0.001121,-0.001443,0.000108,0.001092,-0.000156,-0.000305,0.000469,-0.001273
741.5,-0.000906,0.000157,-0.002608,0.001218,0.002541,0.002973,-0.000215,-0.002354,-0.002766,-0.001869,0.000313,-0.000192,-0.000949,-0.001607,0.001389
741,-0.00103,-0.000973,0.001034,-0.001523,0.002084,0.002685,0.000045,-0.00048,-0.002871,-0.000634,0.001328,0.000934,0.001972,0.000773,0.001996
740.5,-0.000827,-0.000999,0.000118,-0.003042,0.002346,0.001529,-0.001695,-0.001548,-0.001088,0.002593,0.001598,0.000136,-0.002481,0.000031,0.001179
740,0.000204,0.004163,0.001582,-0.003519,0.001334,0.00174,-0.000788,-0.002148,-0.002003,0.000692,-0.000001,0.000633,0.00084,0.000822,0.002544
739.5,-0.000909,-0.001894,-0.003009,0.000298,0.003747,0.000949,-0.001234,-0.001402,0.000442,0.000864,-0.000071,0.000795,0.002563,0.000413,0.000113
739,0.002737,0.000938,0.000217,-0.000793,0.003619,0.003633,-0.001674,-0.00054,0.000582,0.0015,0.001005,0.001819,-0.000996,0.002324,0.002628
738.5,-0.001628,-0.000259,0.000536,0.001283,0.003773,0.00514,0.002592,0.000405,-0.001114,-0.000246,-0.001104,0.001747,0.000682,0.000137,0.002204
738,0.001309,0.002629,-0.000174,0.000385,0.001097,-0.000043,-0.002104,0.000366,-0.001501,0.000547,0.001461,0.00175,0.002267,0.00096,0.001882
737.5,0.001117,0.000738,0.000311,0.000641,0.004055,0.004097,-0.001229,-0.001501,-0.002326,-0.000166,0.00113,0.000974,0.000151,0.000872,0.001106
737,0.000885,0.000136,-0.00222,-0.002759,-0.000308,0.002891,0.001162,0.000086,-0.000621,-0.001524,-0.001207,0.001055,0.003137,-0.002098,0.000228
736.5,-0.0025,-0.001827,-0.000492,-0.000521,0.004349,0.001473,-0.000926,0.00045,0.000723,-0.000939,-0.001667,-0.002384,-0.001335,-0.001696,-0.000833
736,-0.001497,0.001431,-0.004819,-0.003285,0.000889,0.005228,0.001274,0.002953,0.000182,0.000125,0.001978,0.000269,0.000991,-0.001106,-0.0017
735.5,0.000128,0.001957,0.000945,0.000416,0.004938,0.002173,-0.00128,0.001355,0.001501,0.000162,0.000068,0.002055,0.002215,0.001565,0.002192
735,-0.000349,-0.001321,0.000859,-0.001663,0.001806,0.003684,0.000945,0.001547,-0.000521,-0.001866,-0.000548,-0.001009,-0.000159,0.001648,0.003579
734.5,-0.002471,0.001261,-0.000647,0.00074,0.004369,0.005102,0.00292,0.001586,-0.00032,0.000265,-0.000791,-0.001647,-0.000067,-0.001543,-0.001719
734,0.00075,0.001342,-0.000522,-0.000456,0.003644,0.001711,-0.000569,0.001939,0.000437,-0.001457,-0.001566,0.000735,0.000425,-0.000111,0.000446
733.5,0.00274,0.001118,0.000282,-0.002042,0.002598,0.001283,-0.000416,-0.000564,-0.001798,-0.000639,-0.000259,0.000069,-0.00015,-0.0013,0.001001
733,0.000831,0.000488,-0.001152,-0.001589,0.002898,0.002372,-0.000638,-0.000407,-0.001721,0.000646,-0.000621,0.002201,0.0028,-0.00091,0.000996
732.5,0.002458,0.00045,0.00195,-0.000535,0.002908,0.003632,0.001933,-0.000174,-0.000029,0.003504,0.001054,0.000585,0.000394,-0.0009,-0.000017
732,0.00051,-0.001112,-0.001956,0.000567,0.003839,0.002144,0.000767,0.001135,-0.000543,0.000507,-0.001493,-0.000938,-0.00028,-0.001513,-0.000183
731.5,0.001233,0.000024,-0.001289,-0.001152,0.001365,0.004359,0.000156,-0.00092,-0.001541,0.000657,-0.000388,0.00026,-0.000574,0.000337,0.000849
731,0.000494,0.001294,0.000014,-0.001496,0.000354,-0.000161,-0.002625,-0.000781,-0.001319,0.001405,0.000894,-0.000238,-0.001036,-0.000192,0.000467
730.5,0.002568,0.00017,-0.001476,0.000446,0.002776,0.001213,-0.001054,0.003416,0.000893,0.002222,-0.001073,0.001695,-0.000765,0.000809,0.001213
730,0.000156,-0.0004,-0.002279,-0.001791,0.002273,0.002346,-0.000449,0.000831,0.000147,-0.001818,-0.001855,0.000173,0.001041,-0.003719,0.000675
729.5,0.000958,-0.001506,-0.00003,0.000395,0.001367,0.003323,-0.00068,-0.000228,-0.001107,-0.00003,-0.00106,-0.000549,-0.002932,-0.00088,-0.000938
729,-0.000507,-0.000617,-0.002376,-0.00253,0.00262,0.004605,-0.00067,0.000185,0.000613,-0.00066,-0.000963,0.002845,0.001942,0.000335,0.001145
728.5,0.001505,0.001234,0.000249,-0.00024,0.002454,0.003455,-0.001243,-0.000485,-0.000894,-0.000212,-0.000494,-0.000597,-0.000621,-0.000949,0.000066
