Wavelength (nm),Blank1,F542,F543,F546,F547,F560,F561,F552,F553,F558,F559,F572,F573,F574,F575,F580,F581,F599,F597
770.5,0.002421,0.000767,-0.002299,-0.00392,-0.000839,0.003669,0.001189,0.001676,0.00037,0.002958,0.00247,-0.000183,-0.003082,0.002356,-0.000319,0.003758,0.001045,-0.000466,-0.002066
770,0.000607,0.002932,0.000997,0.000479,-0.000641,0.002814,-0.000844,-0.001772,-0.002444,0.001651,0.001139,0.000896,0.001958,0.001999,0.003341,0.001757,0.000974,-0.002025,0.00107
769.5,-0.000692,-0.003341,-0.000179,0.002425,0.000202,-0.00031,-0.004089,-0.002065,-0.003093,0.000544,0.001792,0.001258,0.000838,0.000332,0.000847,0.003842,0.004991,-0.000005,-0.000386
769,-0.000681,0.002759,0.001853,0.00029,0.003001,0.000204,0.000494,0.000398,-0.0005,0.000581,0.00179,0.00137,-0.000586,0.000227,0.002897,0.00033,0.001526,-0.002897,-0.002466
768.5,0.001658,-0.00162,0.000564,-0.000899,-0.001576,0.003707,0.002603,-0.00085,-0.000181,-0.002707,-0.0034,0.001742,-0.001931,-0.00037,0.000461,-0.0018,-0.001998,-0.001743,-0.001464
768,0.000736,0.000764,-0.000745,-0.001609,0.001058,0.001656,-0.000336,0.000371,-0.000785,-0.001067,0.004024,0.001717,0.000213,-0.004012,-0.00329,0.004844,0.000563,-0.002574,0.000504
767.5,0.000355,-0.000365,-0.001705,0.001797,0.002211,0.000291,-0.000964,-0.000867,-0.003734,0.000718,0.002381,0.002145,0.00156,0.002034,0.002101,-0.000403,-0.000116,-0.00189,0.001734
767,0.000172,-0.003154,-0.002648,0.000797,0.002064,0.000773,0.000212,0.002104,-0.000365,0.001127,0.001488,0.001795,-0.001755,0.00124,-0.000274,0.004218,0.002826,-0.000502,0.000088
766.5,0.000712,-0.00093,-0.004456,-0.000378,-0.000856,0.002356,-0.000664,0.00176,-0.000214,-0.0028,-0.000681,-0.000718,-0.001787,0.002098,-0.000639,0.004342,0.002901,-0.000592,-0.000713
766,0.000007,0.00431,-0.000511,0.00139,0.000443,0.001312,-0.000263,-0.003461,-0.004486,0.003327,0.003361,0.001649,-0.002722,0.000868,0.001229,0.002315,0.003297,-0.001321,-0.000022
765.5,-0.001789,0.000226,0.000893,-0.00002,0.000998,0.000831,-0.000343,-0.000249,-0.000063,-0.000251,-0.000471,0.003146,0.002153,0.000005,0.000174,0.000006,-0.001401,0.00148,0.002616
765,0.002277,0.002415,-0.000547,0.002767,0.00104,0.00064,0.000502,-0.000079,-0.000245,0.003142,0.001794,-0.001347,-0.001101,0.002592,0.001539,-0.001631,0.001124,-0.001089,-0.002931
764.5,0.00019,0.000433,-0.001229,-0.00128,0.001341,0.000814,0.000329,-0.00067,-0.00151,0.00108,-0.001498,0.002021,-0.002741,-0.00035,-0.001123,0.001266,0.000531,0.001654,0.000377
764,-0.000073,-0.000254,0.000734,-0.000073,0.000229,0.001875,-0.000617,-0.002013,-0.000851,0.001666,0.001188,0.001016,-0.000594,0.000563,-0.000116,0.001513,0.000722,0.00108,0.000531
763.5,-0.001741,-0.000711,-0.000971,0.000317,0.000257,-0.001108,-0.000333,0.0006,-0.001182,-0.001143,-0.001616,0.001489,-0.000178,-0.00119,0.002771,0.002851,0.000868,0.000267,-0.000427
763,0.000462,0.002045,0.000274,0.001368,0.000852,0.001383,0.001382,-0.000911,-0.00113,0.001146,0.002808,0.001186,0.000705,-0.000127,-0.000539,0.002997,0.00052,-0.00058,0.000792
762.5,0.000073,0.000631,0.002099,-0.003544,-0.001419,0.002076,-0.000254,0.002396,0.000832,-0.000709,0.000632,0.000434,-0.001599,0.001742,0.000278,0.003154,0.000733,0.000517,0.001779
762,0.001573,-0.001612,0.000741,0.001903,0.000899,0.003204,0.001927,0.003468,0.001061,0.002299,0.001003,0.001666,-0.000156,-0.002041,-0.001098,0.001996,-0.000004,0.001122,0.00133
